Date,High,Low
2021-10-29,4608.080078125,4567.58984375
2021-11-01,4620.33984375,4595.06005859375
2021-11-02,4635.14990234375,4613.33984375
2021-11-03,4663.4599609375,4621.18994140625
2021-11-04,4683.0,4662.58984375
2021-11-05,4718.5,4681.31982421875
2021-11-08,4714.919921875,4694.39013671875
2021-11-09,4708.52978515625,4670.8701171875
2021-11-10,4684.85009765625,4630.85986328125
2021-11-11,4664.5498046875,4648.31005859375
2021-11-12,4688.47021484375,4650.77001953125
2021-11-15,4697.419921875,4672.85986328125
2021-11-16,4714.9501953125,4679.419921875
2021-11-17,4701.5,4684.41015625
2021-11-18,4708.7998046875,4672.77978515625
2021-11-19,4717.75,4694.22021484375
2021-11-22,4743.830078125,4682.169921875
2021-11-23,4699.39013671875,4652.66015625
2021-11-24,4702.8701171875,4659.89013671875
2021-11-26,4664.6298828125,4585.43017578125
2021-11-29,4672.9501953125,4625.259765625
2021-11-30,4646.02001953125,4560.0
2021-12-01,4652.93994140625,4510.27001953125
2021-12-02,4595.4599609375,4504.72998046875
2021-12-03,4608.02978515625,4495.1201171875
2021-12-06,4612.60009765625,4540.509765625
2021-12-07,4694.0400390625,4631.97021484375
2021-12-08,4705.06005859375,4674.52001953125
2021-12-09,4695.259765625,4665.97998046875
2021-12-10,4713.56982421875,4670.240234375
2021-12-13,4710.2998046875,4667.60009765625
2021-12-14,4660.47021484375,4606.52001953125
2021-12-15,4712.60009765625,4611.22021484375
2021-12-16,4731.990234375,4651.89013671875
2021-12-17,4666.7001953125,4600.22021484375
2021-12-20,4587.89990234375,4531.10009765625
2021-12-21,4651.14013671875,4583.16015625
2021-12-22,4697.669921875,4645.52978515625
2021-12-23,4740.740234375,4703.9599609375
2021-12-27,4791.490234375,4733.990234375
2021-12-28,4807.02001953125,4780.0400390625
2021-12-29,4804.06005859375,4778.080078125
2021-12-30,4808.93017578125,4775.330078125
2021-12-31,4786.830078125,4765.75
2022-01-03,4796.64013671875,4758.169921875
2022-01-04,4818.6201171875,4774.27001953125
2022-01-05,4797.7001953125,4699.43994140625
2022-01-06,4725.009765625,4671.259765625
2022-01-07,4707.9501953125,4662.740234375
2022-01-10,4673.02001953125,4582.240234375
2022-01-11,4714.1298828125,4638.27001953125
2022-01-12,4748.830078125,4706.7099609375
2022-01-13,4744.1298828125,4650.2900390625
2022-01-14,4665.1298828125,4614.75
2022-01-18,4632.240234375,4568.7001953125
2022-01-19,4611.5498046875,4530.2001953125
2022-01-20,4602.10986328125,4477.9501953125
2022-01-21,4494.52001953125,4395.33984375
2022-01-24,4417.35009765625,4222.6201171875
2022-01-25,4411.009765625,4287.10986328125
2022-01-26,4453.22998046875,4304.7998046875
2022-01-27,4428.740234375,4309.5
2022-01-28,4432.72021484375,4292.4599609375
2022-01-31,4516.89013671875,4414.02001953125
2022-02-01,4550.490234375,4483.52978515625
2022-02-02,4595.31005859375,4544.31982421875
2022-02-03,4542.8798828125,4470.39013671875
2022-02-04,4539.66015625,4451.5
2022-02-07,4521.85986328125,4471.47021484375
2022-02-08,4531.31982421875,4465.39990234375
2022-02-09,4590.02978515625,4547.0
2022-02-10,4588.919921875,4484.31005859375
2022-02-11,4526.330078125,4401.41015625
2022-02-14,4426.22021484375,4364.83984375
2022-02-15,4472.77001953125,4429.27978515625
2022-02-16,4489.5498046875,4429.68017578125
2022-02-17,4456.06005859375,4373.81005859375
